ngirim: kirim
kerenn : keren
gampang : mudah
gituuu : begitu
hehehehe : tertawa
sukaaa : suka
smoga : semoga
socoo : sociola
appnya : aplikasi
lgi : lagi
nglirik : melirik
thanks : terima kasih
baguusss : bagus
ngeheng : ngebug
y : ya
cpt : cepat
mdh2an : mudah-mudahan
lop : love
pesen : pesan
kagak : tidak
ngurusin : mengurus
gausah : tidak perlu
ngelawak : bercanda
menhunakan : menggunakan
segitunya : seperti itu
min : minimal
enggan : tidak ingin
nyaaaaa : nya
huhuuu : sedih
d : di
dg : dengan
luarrrrr : luar
kdg : terkadang
drpd : daripada
luamanyaaaaaaaaaa : lamanya
lamaaaa : lama
pdhal : padahal
haiii : hallo
slh : salah
tranferr : transfer
tranfer : transfer
tpii : tetapi
hd : menjadi
plisss : please
semgj : semoga
yng : yang
apknya : aplikasinya
masak : masa
teros : terus
zzzzz : lelah
kusuka : saya suka
bagusl : bagus
malesin : malasin
tak : tidak
nganter : mengantar
rada : sedikit
nampilin : menampilkan
bangets : banget
apk : aplikasi
giid : good
guud : good
semuaaaa : semua
maap : maaf
mo : ingin
ngeripiu : mereview
kogh : kok
balik : kembali
kgk : tidak
dongggggg : dong
ripiu : review
panjang" : panjang-panjang
mlh : malah
begono : seperti ini
syenang : senang
matengin : terbiasa
erroorrrrrrr : error
buat : untuk
gaada : tidak ada
mantapppp : mantap
bagusla : bagus sekali
lamaa : lama
apl : aplikasi
hp : handphone
semuaa : semua
produck" : produk-produk
sering" : selalu
kasih : memberi
bjir : anjing
dink : dong
kirain : pikir
hadeuhh : kecewa
byk : banyak
spt : seperti
makasih : terima kasih
nunggunya : menunggu
lwat : lewat
banyakkk : banyak
ckba : coba
krim : kirim
blsannya : balasan
mlah : malah
nutup : tutup
gituuu : seperti itu
applikasinya : aplikasi
berkali2 : berkali-kali
knp : mengapa
kenapa : mengapa
thnks : terima kasih
syedihhh : sedih
huhu : kecewa
sedihhhh : sedih
& : dan
emg : memang
konfrimasi : konfirmasi
gooddd : good
susah : sulit
dnld : download
parrrraaaahhhh : parah
jangan2 : jangan-jangan
kemana : dimana
ttg : tentang
gw : saya
dibanyakin : diperbanyak
kira : pikir
knpa : mengapa
muncull : terlihat
kuotaa : kuota
masihh : tersedia
lancarr : lancar
tolonh : tolong
journal : jurnal
lain2 : lain-lain
fa : tidak
sukaaaaaaaa : suka
sosyola : sociola
nongol : terlihat
nyobanya : mencoba
lagi2 : lagi-lagi
teruusss : terus
dah : deh
hoby : kesukaan
blg : bilang
minggu" : minggu-minggu
gbs : tidak bisa
prdukk : produk
da : dan
gapake : tidak pakai
appsnya : aplikasi
dn : dan
hububgi : hubungi
bgm : bagaimana
mencancelny : mencancel
persis : mirip
sebelumny : sebelumnya
tlh : telah
terconfrim : terkonfirmasi
haha : tertawa
thx : terima kasih
hay : halo
bereapa : berapa
yae : ya
ktnya : katanya
diaplod : diupload
memble : lama
euy : ya
najis : jijik
edan : gila
duit : uang
skrng : sekarang
gua : saya
tiba² : tiba-tiba
gamasalah : tidak masalah
ketauan : ketahuan
waaaw : terkejut
mana : dimana
apa2 : apa-apa
riview : review
loding : loading
emboh : tidak tahu
pencet : tekan
smgah : semoga
ajalah : aja deh
dikrim2 : dikirim-kirim
tmn2 : teman-teman
jngn : jangan
yoiii : iya
terlamaaaa : terlama
shiping : shipping
gtau : tidak tahu
blanja : belanja
samaa : sama
lamanyaaa : lamanya
aplilasi : aplikasi
sidah : sudah
trasfer : transfer
lola : lama
bcause : because
aing : saya
pisan : juga
sekalii : sekali
minta : pinta
dll : dan lain-lain
amat : sekali
tau2 : tahu-tahu
tau : tahu
anehhh : aneh
susahh : sulit
ibternet : internet
gx : tidak
produk² : produk-produk
dolwnload : download
suargo : surga
mantull : mantap betul
awam : pemula
tlg : tolong
ckup : cukup
ndk : tidak
bukak : buka
g : tidak
nyaut : ikut
sll : selalu
hbs : habis
mskpn : meskipun
qt : kita
mreka : mereka
inform : informasi
dl : dahulu
bsa : bisa
cod : cash on delivery
tindaki : tindakan
ngasih : memberi
rada : kurang
hrs : harus
logiin : login
aktifasi : aktivasi
brnma : bernama
kk : kakak
halloo : halo
aplod : upload
teruusssss : terus
mksdnya : maksudnya
dwndl : download
brp : berapa
smpai : sampai
piling : feeling
kokkk : kok
eroror : error
pw : password
donk : dong
sbelumnya : sebelumnya
hrus : harus
mnunggu : menunggu
brang : barang
anjenglh : anjinglah
ngistal : menginstall
longin : login
punuh : penuh
bagusan : lebih bagus
osah : perlu
conection : connection
tk : saya
yh : ya
nnti : nanti
contohny : contohnya
okkk : oke
supeeer : super
ntah : entah
lancarrrrr : lancar
lwt : lewat
atuhlah : sekali
yay : yes
pula : juga
msk : masuk
bntar2 : dikit-dikit
yaah : kecewa
dsni : disini
in : ini
gbsa : tidak bisa
bngtttt : sekali
sukaaaa : suka
konfir : konfirmasi
mintak : minta
disoco : di soco
orii : original
ngomong : bicara
gilaaa : tidak waras
sangatt : sangat
nyaa : nya
besttttt : best
terhoss : selalu
padhl : padahal
masangnya : pasangnya
puyeng : pusing
aying : anjing
abis : habis
disuru : diperintah
dikasi : diberi
sekarnag : sekarang
okeee : oke
bnyk : banyak
bnykn : perbanyak
bolak : balik
mala : malah
blng : bilang
ongkirnyaa : ongkos kirim
jn : juga
muncul : tampak
awaaa : wah
berulang2 : berulang-ulang
lancaran : lancar
Berhenti² : berhenti
aplnya : aplikasinya
uninnstall : uninstall
bisaa : bisa
bantuannyaa : bantuan
yeeey : yes
sekrg : sekarang
kasi : beri
dibukak : dibuka
soalanyaaa : sebab
kenapasi : mengapa
astagaaa : astaga
dongggg : dong
nyebelin : menyebalkan
erronya : error
huhuhu : kecewa
nggk : tidak
lagi : sedang
musti : harus
ngenain : dapat
muu : anda
bat : sekali
aplikasix : aplikasi
wkwkekwk : tertawa
dech : deh
cucok : cocok
muter : mutar
cmn : hanya
muluk : terus
ajaa : saja
diemail : di email
ngisi : mengisi
kesink : kesini
lemottt : lambat
ngrsa : merasa
brhasil : berhasil
prbaiki : perbaiki
byr : bayar
eug : saya
leletnya : lambat
sipuat : siput
aje : saja
barangx : barang
sampaix : sampai
mamposs : mati
des : desember
agst : agustus
hapuss : hapus
maapkan : maafkan
lalod : lambat
ilang²an : hilang-hilangan
yt : youtube
slesai : selesai
nyimpen : simpan
dater : diantar
no mer : nomor
maksudya : maksudnya
ajaaa : saja
oriii : original
kenceng : kencang
masa : heran
dikencengin : dikencangkan
mumpuni : mampu
lonjakan : tingkatan
kembaliin : kembalikan
gilak : tidak waras
eror2 : error
pkoknya : intinya
leg : rusak
baikin : perbaiki
tersedot : terambil
smua : semua
iniiii : ini
incer : incar
sdg : sedang
tb2 : tiba-tiba
terlogut : logout
pass : password
spya : supaya
passnya : passwordnya
kebuka : terbuka
jebol : rusak
suda : sudah
dri : dari
gmna : bagaimana
gembel : jelek
kzl : kesal
ilunk : sekali
anjeng : anjing
gaplok : tepok
gara gara : sebab
bgst : bangsat
aq : saya
ilfil : ilfeel
gegara : sebab
yeeaah : yes
mesti : harus
bulam : bulan
bnr : benar
dr : dari
huh : kecewa
dilengkapin : dilengkapi
rmhku : rumah saya
apaan : apa
sekrang : sekarang
belnja : belanja
ni : ini
graaaaatisssss : gratis
cccccyyiiiinnn : lagi
ngk : tidak
sebel : kesal
chek : check
angus : hangus
kecewaaa : kecewa
bangettttttttttt : sekali
pkai : pakai
gooossssss : bagus
aaaa : senang
apliksinya : aplikasi
ngelacak : melacak
dmna : dimana
kbarnya : kabarnya
plisss : please
barusan : baru saja
kontent : konten
aksez : akses
gbb : bagus
cepetttt : cepat
buangettt : sekali
helloo : hallo
bkn : bukan
diginiin : seperti ini
jlas : jelas
sdah : sudah
sbnernya : sebenarnya
tlis : tulis
knjung : kunjung
plyanan : pelayanan
penget : ingin
pertamakali : pertama kali
laperr : lapar
lemooot : lama
pekingx : packing
rapi : rapih
trimakasih : terima kasih
ss : screenshot
proceed : proces
sebenernya : sebenarnya
luwes : mudah
emailx : emailnya
k : di
sndri : sendiri
goood : good
event2 : event-event
lht : lihat
perskin : skin
csre : care
merk² : merek-merek
joshhh : mantap
ato : atau
even : event
kebagian : diberi
history : histori
okk : oke
beraa : berapa
konpirmasi : konfirmasi
uplod : upload
transper : transfer
ia : ya
dongg : dong
bagt : sekali
barng : barang
pc : laptop
besar2an : besar-besaran
okeh : oke
duper : super
klai : mungkin
terbaikkks : terbaik
bye2 : bye-bye
ngeri : takut
haduh : kecewa
pengeriman : pengiriman
kuy : yuk
wadaw : wah
tfr : transfer
skali : sekali
kalopun : kalau pun
cb : coba
kl : kalau
thankyou : terima kasih
reviu : review
detil : detail
bangt : sekali
jjangg : mantap
gag : tidak
trlbh : terlebih
mncb : mencoba
mgkn : mungkin
plhan : pilihan
dehhhh : deh
sebagus : sangat bagus
mantappp : mantap
pantengin : tunggu
mayan : lumayan
bangettt : sekali
haduhh : kecewa
kesell : kesal
co : cash on delivery
apkikasinya : aplikasi
sampek : sampai
copot : lepas
luvvv : love
njir : anjing
boss : bos
tuk : untuk
masuk2 : masuk-masuk
lemotttt : lama
dehhh : deh
nyampe2 : sampai-sampai
wajarin : wajarkan
baguuussss : bagus
gregetan : kesal
permbaruan : perbaruan
diperbaikin : diperbaiki
emng : memang
thankyouuu : terima kasih
cumen : hanya
tmbahin : tambahkan
dmna2nya : dimana-mananya
wadaaaw : wah
leleeeet : lambat
stiap : setiap
gunain : gunakan
sering2 : sering-sering
mantappp : mantap
mulukkk : terus
ad : ada
baguss : bagus
muuu : anda
apdet : update
updet : update
monmaap : mohon maaf
aplikasihnya : aplikasinya
yampun : ya ampun
bintng : bintang
baguuisss : bagus
sllux : selalu
huuff : kecewa
dnlt : download
hoaaaa : kecewa
bngt : sekali
gemes : gemas
layaaa : tolong ya
muluu : terus
memuarii : puas
repot : sulit
gbisa : tidak bisa
trosss : terus
prlayanan : pelayanan
harha : harga
olshop : online shop
ngeganggu : mengganggu
dongkol : kesal
progress : progres
babget : sekali
skeg : sekarang
sink : sini
tuh : itu
enk : enak
keganggu : terganggu
ajah : saja
ngebantuuu : membantu
kw : palsu
terossss : terus
up date : update
aplikasinyaaa : aplikasi
anjer : anjing
iyaa : iya
c : sih
keterlambatandi : keterlambatan di
dikit2 : dikit-dikit
terbaikk : terbaik
selaluu : selalu
ka : kakak
wkwk : tertawa
jlk : jelek
anjay : anjing
aj : saja
ngecek : mengecek
ckckkck : heran
abis2ny : habis-habisnya
updatean : update
semenarik : sangat menarik
ilaffyouuuuu : i love you
somuch : so much
so.co : sociola
rekomen : recommended
pas : saat
anying : anjing
goodd : good
kutungguuu : kutunggu
selaluu : selalu
surprise2 : surprise-surprise
lainnyaaaaa : lainnya
ciwi-ciwi : wanita
jelass : jelas
dwonload : download
walopun : walaupun
nebeng : gabung
yaelah : payah
terooooooooossss : terus
yooooo : sip
luvvvv : love
kodq : kode
reinstal : reinstall
pulaaaaa : juga
mantappppp : mantap
baguuus : bagus
catalogny : katalognya
btw : by the way
cumaaaaa : hanya
muluuu : terus
hehe : tertawa
dipake : dipakai
updateeee : update
abis"in : menghabiskan
load : loading
kdg2 : terkadang
heheh : tertawa
apaansi : apasih
mnta : ingin
dtambah : ditambah
uninstal : uninstall
ngapdet : update
hiks : sedih
keselll : kesal
jeren : keren
murah2 : murah-murah
helloooo : hallo
ntapss : mantap
produkk : produk
tkeluar : keluar
disc : discount
promk : promo
ouou : wah
blnja : belanja
sedi : sedih
donlod : download
bgini : seperti ini
otw : on the way
updte : update
nd : tidak
mantul : mantap
diskontnya : diskonnya
bel : belum
yuhu : mantap
telfon : telepon
cew : wanita
inii : ini
stlh : setelah
payaaah : payah
ocehh : oke
taikk : kotoran
hahuh : harus
nyaaa : nya
dijaminn : dijamin
baguuuusss : bagus
sukka : suka
terkren : terkeren
knapa : mengapa
muter2 : mutar-mutar
terbaikkk : terbaik
matii : mati
niii : ini
fixes : fix
a : nya
dh : sudah
srg2 : sering-sering
bgtu : seperti itu
n : dan
passw : password
pasw : password
kpn2 : kapan-kapan
ihhh : ih
anjjiing : anjing
uo date : update
kesaring : tersaring
kebawah2 : bawah-bawah
kalok : kalau
gamau : tidak ingin
nyari2 : cari-cari
niceee : nice
pemesanana : pemesanannya
lmyn : lumayan
